UV_treatment,UV_1_0,mass_at_start,mass_week_two,number_of_days,growth_rate,log_growth_rate_plus1,development_time,log_development_time,massa_emergence,sex,sex_1_0,mass_exuvia,total_mass,melanineconcentration_exuvia_per_mass,melanincontent_per_length,sqrt_melanincontent_per_length,PO_per_mg,hemocyte_average_per_mg,log_hemocyte_average_per_mg
controle,0,23.49,27.78,13,0.012903195,0.005567941,22,1.342422681,20.01,m,1,0.47,20.48,1.850213956,0.234595024,0.484350105,7.383808096,0.75962019,0.565097985
UV,1,26.73,30.96,13,0.011300732,0.004880322,28,1.447158031,22.94,v,0,1,23.94,2.505630628,0.464269284,0.681373087,5.278988666,1.238012206,0.805588064
controle,0,22.93,27.25,13,0.013277494,0.005728397,24,1.380211242,21.3,m,1,0.54,21.84,2.023521125,0,0,6.237089202,2.150234742,1.147476971
UV,1,23.4,28.74,13,0.015811835,0.006813268,23,1.361727836,16.4,m,1,0.67,17.07,3.808922767,0.092384831,0.303948731,9.112804878,0.158536585,0.147157644
controle,0,22.58,29.85,13,0.021470791,0.009225952,21,1.322219295,22.76,m,1,0.42,23.18,1.306098967,0.20094847,0.448272763,6.520210896,0.738137083,0.552813897
UV,1,23,28.34,13,0.016060001,0.006919355,22,1.342422681,20.39,m,1,0.72,21.11,2.847572337,0,0,7.820009809,0.568906327,0.450378769
controle,0,29.23,32.77,13,0.008793683,0.003802354,24,1.380211242,26.12,v,0,0.43,26.55,2.09299866,0.166664771,0.408245969,5.899693721,0.842266462,0.610996587
UV,1,25.6,28.98,13,0.009539507,0.004123319,23,1.361727836,19.5,m,1,0.51,20.01,,,,,,
controle,0,24.98,33.32,13,0.022160178,0.009518957,19,1.278753601,22.86,v,0,0.58,23.44,1.478279019,0.893648172,0.945329664,5.608048994,0.498687664,0.404589835
UV,1,24.05,28.01,13,0.011725123,0.005062534,31,1.491361694,25.08,v,0,0.76,25.84,2.391351012,0.113168987,0.336405986,5.133572568,1.929824561,1.074942545
controle,0,23.86,29.19,13,0.015509444,0.006683966,22,1.342422681,23.03,v,0,0.57,23.6,1.597891336,0.256010315,0.505974619,5.093356492,0.894485454,0.638947273
UV,1,24.49,28.94,13,0.012843065,0.005542159,26,1.414973348,22.11,m,1,0.72,22.83,2.328290364,0.480031859,0.692843315,8.487109905,2.270465853,1.184932437
controle,0,24.62,31.2,13,0.018219921,0.00784159,20,1.301029996,21.28,m,1,0.65,21.93,2.558598647,0.128540944,0.358526072,7.213345865,0.357142857,0.30538165
UV,1,26.82,31.73,13,0.012931902,0.005580249,28,1.447158031,22.58,v,0,0.58,23.16,1.706008265,0.437866312,0.661714676,5.677590788,0.504871568,0.408707558
controle,0,23.59,30.79,13,0.020489775,0.008808657,21,1.322219295,21.74,m,1,0.45,22.19,1.344195609,0.268584642,0.518251524,4.664213431,2.198712052,1.162748245
UV,1,25.07,29.08,13,0.011413749,0.004928853,26,1.414973348,21.78,m,1,0.66,22.44,2.020138891,0.435107134,0.659626511,3.197887971,0.348943985,0.299322053
controle,0,31.2,36.31,13,0.011667315,0.005037719,29,1.462397998,29.39,m,1,0.81,30.2,1.947945728,0.090740973,0.301232423,5.481456278,0.592038108,0.465015024
UV,1,28.26,30.22,13,0.005158198,0.002234419,29,1.462397998,26.03,m,1,1.07,27.1,2.180438436,0.295240497,0.543360375,5.900883596,0.660776028,0.50728498
controle,0,21.85,26.26,13,0.014141996,0.006098767,23,1.361727836,21.21,m,1,0.62,21.83,1.679105766,0.119721032,0.346007272,5.320603489,0.726072607,0.545848659
UV,1,24.88,28.16,13,0.00952602,0.004117517,25,1.397940009,21.14,m,1,0.66,21.8,,,,,,
controle,0,25.84,31.49,13,0.015211258,0.006556425,21,1.322219295,22.44,m,1,0.75,23.19,1.751267266,0.18425879,0.42925376,6.648841355,1.078431373,0.731613461
UV,1,25.65,30.5,13,0.013321778,0.005747376,23,1.361727836,22.95,m,1,0.8,23.75,2.170515611,0.249202245,0.499201608,7.418300654,1.167755991,0.773692527
controle,0,24.35,30.24,13,0.016664131,0.007177501,20,1.301029996,23.04,m,1,0.62,23.66,1.324967448,0.36597187,0.604956089,5.985243056,1.510416667,0.920448742
UV,1,23.47,28.75,13,0.015608827,0.006726467,26,1.414973348,23.1,v,0,0.71,23.81,2.075507758,0.140002715,0.374169366,6.675324675,0.277056277,0.244557646
controle,0,25.34,32.51,13,0.019166428,0.008245109,19,1.278753601,23.06,m,1,1.02,24.08,2.220929095,,,4.956634866,0.988725065,0.687493763
UV,1,27.34,30.03,13,0.007218927,0.003123878,33,1.51851394,27.21,v,0,0.72,27.93,1.724972438,0.464047231,0.681210123,5.39507534,0.940830577,0.663116014
controle,0,29.46,33.28,13,0.009378708,0.004054139,24,1.380211242,25.97,v,0,0.6,26.57,1.618117058,0.189171828,0.434938879,5.113592607,0.762418175,0.566686829
UV,1,27.53,33.19,13,0.014382485,0.006201742,24,1.380211242,23.5,v,0,0.86,24.36,2.346854607,0.810841376,0.90046731,6.00212766,0.817021277,0.597198499
controle,0,27.83,34.43,13,0.016370285,0.007051959,21,1.322219295,24.81,v,0,0.71,25.52,1.631435579,0.542029626,0.736226613,4.3611447,1.813784764,1.034530468
UV,1,24.99,31.09,13,0.016800806,0.007235882,25,1.397940009,20.73,m,1,1.46,22.19,2.237799489,0.292205497,0.540560355,6.620839363,1.205981669,0.791172611
controle,0,30.54,38.75,13,0.018314881,0.00788209,20,1.301029996,28.98,v,0,0.96,29.94,2.086335404,0.319215017,0.564991166,5.196687371,0.303657695,0.265173925
UV,1,26.48,29.91,13,0.009369472,0.004050166,31,1.491361694,24.48,v,0,0.86,25.34,2.126872274,0.520759717,0.721636832,5.271650327,0.874183007,0.628172835
controle,0,25.44,33.06,13,0.02015395,0.008665716,24,1.380211242,23.81,v,0,0.5,24.31,1.733055964,0.217367257,0.466226615,4.98950021,0.596388072,0.467743623
UV,1,25.07,29.22,13,0.011783192,0.00508746,27,1.431363764,23.35,m,1,0.77,24.12,2.210246253,0.014712474,0.121294988,7.734475375,1.070663812,0.727869238
controle,0,21.37,24.73,13,0.011233001,0.004851234,24,1.380211242,19.12,m,1,0.48,19.6,1.366710251,1.207598168,1.098907716,5.04707113,0.941422594,0.663421
UV,1,25.01,29.14,13,0.01175662,0.005076055,31,1.491361694,25.39,v,0,0.84,26.23,2.674694764,0.432808606,0.657881909,5.240252068,0.874359984,0.628267259
controle,0,24.18,26.79,13,0.007884834,0.00341091,27,1.431363764,23.2,m,1,0.69,23.89,1.693275864,0.441615171,0.664541324,5.885775862,0.336206897,0.289834926
UV,1,23.02,29.58,13,0.019287312,0.008296618,26,1.414973348,21.77,m,1,0.55,22.32,1.519110778,0,0,6.42627469,1.506660542,0.918951406
controle,0,28.01,33.88,13,0.014635637,0.006310112,24,1.380211242,30.96,v,0,,,,,,,,
UV,1,24.14,28.45,13,0.012636765,0.005453691,,,,,,,,,,,,,
UV,1,27.59,32.78,13,0.01325886,0.00572041,25,1.397940009,24.98,v,0,0.87,25.85,2.111439151,0.24759449,0.497588676,6.60928743,0.720576461,0.542659387
controle,0,30.3,33.96,13,0.008771973,0.003793008,28,1.447158031,27.96,v,0,0.8,28.76,1.782248452,0.391191484,0.625453023,5.219957082,0.808297568,0.592385832
UV,1,23.3,27.53,13,0.012832535,0.005537644,25,1.397940009,21.67,m,1,0.67,22.34,2.091044647,0.57570217,0.7587504,6.005999077,1.10752192,0.745512812
controle,0,28.78,34.12,13,0.01309254,0.005649117,24,1.380211242,27.46,v,0,0.78,28.24,1.811821739,0.34250673,0.585240745,5.167516387,1.201747997,0.789251589
UV,1,25.12,29.26,13,0.011735158,0.005066842,24,1.380211242,21.47,m,1,0.7,22.17,2.177039666,0.273564297,0.523033744,7.098276665,1.266884024,0.818406212
UV,1,25.58,31.17,13,0.015203484,0.0065531,25,1.397940009,26.74,v,0,0.65,27.39,1.277241492,0.938176684,0.968595212,6.411742708,1.278982797,0.823729202
